Year,Date,Plot,Treatment,Mobile,Leafhopper
2022,7/27/2022,A1,Nothing,41-60,21
2022,7/27/2022,A2,Stakes + SS,0-20,6
2022,7/27/2022,A3,Stakes,0-20,11
2022,7/27/2022,A4,Stakes + SS,41-60,18
2022,7/27/2022,A5,Stakes + SS,41-60,6
2022,7/27/2022,A6,SS,61-80,17
2022,7/27/2022,A7,Stakes,21-40,10
2022,7/27/2022,A8,Nothing,0-20,22
2022,7/27/2022,B1,SS,21-40,14
2022,7/27/2022,B2,SS,0-20,18
2022,7/27/2022,B5,SS,41-60,9
2022,7/27/2022,B6,Stakes + SS,0-20,11
2022,7/27/2022,B7,Nothing,0-20,12
2022,7/27/2022,B8,Stakes + SS,61-80,23
2022,7/27/2022,C1,Stakes + SS,41-60,7
2022,7/27/2022,C2,Stakes,0-20,23
2022,7/27/2022,C3,SS,21-40,26
2022,7/27/2022,C4,Stakes,21-40,25
2022,7/27/2022,C5,Stakes,41-60,12
2022,7/27/2022,C6,Stakes + SS,21-40,17
2022,7/27/2022,C7,Nothing,41-60,27
2022,7/27/2022,C8,Stakes,21-40,38
2022,7/27/2022,D1,Stakes,21-40,29
2022,7/27/2022,D2,Stakes,21-40,3
2022,7/27/2022,D3,Stakes + SS,0-20,16
2022,7/27/2022,D4,Nothing,41-60,29
2022,7/27/2022,D5,Nothing,0-20,16
2022,7/27/2022,D6,Nothing,0-20,12
2022,7/27/2022,E1,SS,41-60,23
2022,7/27/2022,E2,SS,41-60,10
